Column0,Compound,myY,Fit,AbsResidual
213638,Mn1Nb2V1,9.4822,9.696556185245516,0.21435618524551536
46539,Au1Ti1Tl1,5.483,5.916033664226534,0.4330336642265342
50121,Ba1Cu1Fe1O5Y1,3.6012,3.672977144527437,0.07177714452743711
101765,Ca1Pt2Sr1,4.877,4.801212906646731,0.07578709335326916
240827,P1Ta1V1,5.6035,6.0966804541587845,0.4931804541587841
190765,In1Te1V1,6.8328,6.8985456120014215,0.0657456120014217
197375,K2P1Te2,2.7951,2.5688891972541827,0.2262108027458174
56715,Ba2Pb1Y1,2.1982,2.2865448954582233,0.08834489545822333
63124,Be1Bi2In1,6.9437,7.152821658658984,0.2091216586589839
161170,Ga2N2,6.2775,6.148394368982317,0.12910563101768258
175859,Hf1Li2W1,3.7147,3.997066875362398,0.2823668753623978
130181,Cr2Ir1Tc1,8.2601,8.162651653862001,0.09744834613799824
47001,Ba1Be1Sc2,3.0029,3.379093357467653,0.37619335746765303
133981,Cr1Sb1Zr1,6.1625,6.64016560649872,0.4776656064987206
136202,Cu1F3Tl1,2.1335,2.783269117212297,0.6497691172122968
100880,Ca6O12Te2,2.279,2.214836533474924,0.0641634665250761
93699,C60,0.2798,0.5752585910320297,0.2954585910320297
194898,K1Mg1Y2,2.4119,2.477349739789964,0.06544973978996405
70768,Be2Pd1Re1,5.4013,6.1315530125618,0.7302530125617999
172390,Ge1Re2Zr1,7.0227,7.6132293738365195,0.5905293738365192
176719,Hf1Na1P1,4.9501,5.068601454734804,0.11850145473480378
6718,Ag1Hg1Tc1,3.2199,3.8345218714714067,0.6146218714714067
42212,Au1Cu1Zn2,4.8016,5.3368571784019485,0.5352571784019489
133533,Cr4Re4Rh4,5.2148,5.972793330907823,0.7579933309078228
33425,As1Ga1,4.1019,4.397554774713518,0.2956547747135181
55205,Ba1Na1Pb1,1.7287,2.093113315796854,0.3644133157968539
127833,Cr2Cu1Rh1,6.2087,6.469723254776003,0.26102325477600274
115502,Cl1Ir1W1,6.5963,6.701898424291612,0.10559842429161215
169461,Ge1Mo1Sb1,7.1895,7.319833625125887,0.1303336251258873
91690,Br1O3Sn1,4.8934,4.420077139520647,0.4733228604793531
209943,Mg2Ni1V1,4.6425,5.218683330535891,0.5761833305358905
156768,F3O1Pb1,-0.3631,0.5099753950834289,0.8730753950834289
4615,Ag1Cr1Te2,4.2424,4.399410127115251,0.1570101271152513
1185,Ag1Au1Cu2,5.0413,5.210636747837069,0.1693367478370691
135201,Cs8O19Ta6,0.5499,1.1488760780572906,0.5989760780572906
180636,Hg1Ir1Rh1,3.9389999999999996,4.527237857532503,0.5882378575325036
235099,Pb8Pd8Sb24,6.8029,6.909387323427202,0.10648732342720191
36814,As1Na1Tl1,3.3534,3.7540762113571184,0.4006762113571183
20808,Al1Hg1Pt1,4.7466,5.074040460634233,0.32744046063423315
212719,Mg1Te1V1,5.8959,5.888326396131517,0.0075736038684830476
47775,Ba1Br1La2,5.4765,5.946132723569872,0.4696327235698723
141260,Cu1Na1Zn1,1.9437,2.1115357551336302,0.16783575513363025
202770,La1Re1Te2,8.9301,9.138052761888506,0.20795276188850664
74823,Bi1Br2Ru1,5.9962,6.413336675262453,0.41713667526245324
144355,Cu2Se1,5.5103,5.892390021228792,0.3820900212287919
34467,As2Hf1Zn1,5.5222,5.993317158508303,0.47111715850830294
188708,In1Pb2Ta1,7.3378,7.529490463209155,0.19169046320915495
49923,Ba1Cr1Os1,4.3449,4.459325909566881,0.11442590956688115
103689,C4Cr1H8N6S4,0.743,0.28392692186832574,0.45907307813167425
99124,Ca2Mg1Rh1,3.9929,4.14623519177437,0.1533351917743695
219943,Na1Nb1P1,6.0760000000000005,6.516675770664217,0.4406757706642166
